start	end	text
0	4000	No, no estoy grabando.
4000	8000	En un cuello botecho.
8000	10000	¿Por qué?
10000	12000	Porque resulta y pasa
12000	16000	que yo tengo 27 empresas.
16000	19000	Y en la 27, sólo una empresa
19000	22000	tiene 17 establecimientos de comercio.
22000	24000	O sea, queso y café.
24000	27000	Una de 27 tiene 19 establecimientos.
27000	29000	Todos me escriben al gozado.
29000	32000	Entonces vos amigos, una locura total.
32000	35000	¿Qué pretendías yo tener?
35000	38000	Yo en principio pensaba en una app.
38000	42000	Donde el cliente va a ingresar,
42000	45000	yo le voy a subir la carpeta a la app.
45000	47000	O sea, la uva a la página.
47000	49000	No sé cómo lo van a hacer.
49000	52000	Y el cliente,
52000	54000	donde tenga ahí, por ejemplo,
54000	56000	un link donde llega la solicitud,
56000	59000	que es lo que pretende los documentos soportes
59000	61000	y eso, por ejemplo, un despido.
61000	63000	O si necesita hacer un reglamento,
63000	65000	me indica el reglamento el que tenemos nosotros.
65000	68000	Y me subo ahí, que me indique la tarea.
68000	70000	Que la tarea me llegue acá,
70000	72000	porque yo tengo dos abogadas que traen conmigo.
72000	74000	Ellas traen exclusivamente para mí.
74000	77000	Ah, hacer las tareas que yo le hacía.
77000	80000	Pero entonces a mí se me convirtió en un problema por eso.
80000	83000	Pues yo botecho, porque todos me llegan al celular.
84000	87000	Entonces yo tengo que llegar y toda tarea,
87000	88000	entonces se la mando a ella,
88000	89000	y se la mando por WhatsApp.
89000	91000	Entonces los WhatsApp, el WhatsApp mingúl de ellas,
91000	93000	es un conflicto total.
93000	96000	Aparte de eso, ellas hacen la tarea
96000	98000	y me la mandan a mí.
98000	101000	Y entonces yo tengo que remitirle allá.
101000	103000	Pues obviamente yo los tengo que revisar,
103000	105000	pero ¿qué pasa?
105000	107000	Que muchas veces son todas las cosas que me llegan,
107000	109000	que hay cosas que se me pasan.
109000	110000	Y entonces me dicen,
110000	112000	ah, me recuerdo el contrato,
112000	113000	y yo la tengo hace tres días,
113000	115000	pues no me mando, no me lo revisé.
115000	116000	Entonces ¿qué pasa?
116000	118000	De tal manera que llegue la solicitud
118000	121000	a la página o a la plataforma o a la app,
121000	124000	yo no sé si no va a asignar el rol
124000	126000	o que simplemente llegue ahí
126000	129000	y ellas tengan que distribuir el trabajo.
129000	131000	Incluso ya tengo una de ellas
131000	132000	que es como líder,
132000	134000	que ella la quede asignada.
134000	136000	Pues yo estoy la otra abogada, así así,
136000	139000	entonces ¿qué llegue ahí?
